symbol,year,month,day,open,volume
Amazon,2011,9,20,12.04,147710000
Amazon,2011,9,21,11.7255,117630000
Amazon,2011,9,22,11.236,165092000
Amazon,2011,9,23,11.0255,129362000
Amazon,2011,9,26,11.374,115882000
Amazon,2011,9,27,11.711,156750000
Amazon,2011,9,28,11.3175,288738000
Amazon,2011,9,29,11.7085,187570000
Amazon,2011,9,30,10.9095,131006000
Amazon,2011,10,3,10.8505,132488000
Amazon,2011,10,4,10.481,174232000
Amazon,2011,10,5,10.6265,130164000
Amazon,2011,10,6,11.014,136986000
Amazon,2011,10,7,11.124,135686000
Amazon,2011,10,10,11.3115,102862000
Amazon,2011,10,11,11.53,100074000
Amazon,2011,10,12,11.832,130216000
Amazon,2011,10,13,11.85,96670000
Amazon,2011,10,14,12.0435,118474000
Amazon,2011,10,17,12.2145,95580000
Amazon,2011,10,18,12.1155,92194000
Amazon,2011,10,19,12.0335,134302000
Amazon,2011,10,20,11.6065,90498000
Amazon,2011,10,21,11.8455,91450000
Amazon,2011,10,24,11.801,99516000
Amazon,2011,10,25,11.9295,280252000
Amazon,2011,10,26,10.1845,482684000
Amazon,2011,10,27,10.213,215486000
Amazon,2011,10,28,10.3265,197608000
Amazon,2011,10,31,10.7895,146866000
Amazon,2011,11,1,10.4055,170236000
Amazon,2011,11,2,10.7775,122440000
Amazon,2011,11,3,10.815,106300000
Amazon,2011,11,4,10.8825,81316000
Amazon,2011,11,7,10.842,77200000
Amazon,2011,11,8,10.96,78290000
Amazon,2011,11,9,10.7475,93612000
Amazon,2011,11,10,10.675,100892000
Amazon,2011,11,11,10.626,103262000
Amazon,2011,11,14,10.7825,130444000
Amazon,2011,11,15,10.9,114780000
Amazon,2011,11,16,10.8135,110188000
Amazon,2011,11,17,10.6255,159662000
Amazon,2011,11,18,10.2665,168750000
Amazon,2011,11,21,9.6645,226424000
Amazon,2011,11,22,9.3475,198312000
Amazon,2011,11,23,9.653,160226000
Amazon,2011,11,25,9.5205,99440000
Amazon,2011,11,28,9.5825,144146000
Amazon,2011,11,29,9.739,131502000
Amazon,2011,11,30,9.738,154340000
Amazon,2011,12,1,9.5925,146554000
Amazon,2011,12,2,9.8535,150524000
Amazon,2011,12,5,9.943,118442000
Amazon,2011,12,6,9.799,104040000
Amazon,2011,12,7,9.5515,128546000
Amazon,2011,12,8,9.6785,87222000
